time,FSO_T00_SKPAuto_Opstarten,FSO_T01_SKPAuto_VerzekererdJaNee,FSO_T02_SKPAuto_Kenteken,FSO_T03_SKPAuto_AutoCheck,FSO_T04_SKPAuto_Postcode,FSO_T05_SKPAuto_Bestuurder,FSO_T06_SKPAuto_GeboorteDatum,FSO_T07_SKPAuto_SchadeVrijeJaren,FSO_T08_SKPAuto_Kilometers,FSO_T09_SKPAuto_Basisdekking,FSO_T10_SKPAuto_Uitbreiding,FSO_T11_SKPAuto_Ingangsdatum,FSO_T12_SKPAuto_Ongevallen,FSO_T13_SKPAuto_Samenvatting1,FSO_T14_SKPAuto_PriveZakelijk,FSO_T15_SKPAuto_KentekenOpNaam,FSO_T16_SKPAuto_Persoonsgegevens,FSO_T17_SKPAuto_Adres,FSO_T18_SKPAuto_TelefoonEmail,FSO_T19_SKPAuto_AanvullendeVragen,FSO_T20_SKPAuto_GeweigerdOpgezegd,FSO_T21_SKPAuto_StrafbaarFeit,FSO_T22_SKPAuto_EerderSchade,FSO_T23_SKPAuto_MaandJaar,FSO_T24_SKPAuto_Rekeningnummer,FSO_T25_SKPAuto_Samenvatting2,FSO_T26_SKPAuto_EindeScript
15-3 18:00,"2,18","2,58","0,98","2,76","0,84","1,93",-,-,-,-,-,-,-,-,-,-,-,"2,61","1,83","11,98","1,70","2,21",-,-,-,-,-
15-3 18:05,"2,18","0,71","0,65","1,52","0,73","1,59",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,75","3,17","0,98"
15-3 18:10,"2,55","0,58","0,54","1,52","0,52","1,77","1,17","2,60","1,00","2,91","0,91","0,58","1,54","2,54","0,81","1,15","1,70","3,24","1,52","8,54","0,78","0,89","0,92","0,89","2,31","3,44","0,61"
15-3 18:15,"3,31","0,77","0,70","1,65","0,70","1,77",-,-,-,-,-,-,"1,82","2,56","0,79","0,75","1,22",-,-,-,-,-,-,-,-,-,-
15-3 18:20,"2,45","2,86","1,97","3,48","2,38","2,72","0,88","2,47","1,02","2,98","0,74","0,60",-,-,-,-,-,"2,28","1,59","8,11","0,64","0,89","1,03","1,10","1,27","3,25","0,77"
15-3 18:25,"2,40","0,34","0,42","1,71","0,40","1,43",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
15-3 18:30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,53","8,86","0,52","0,46","0,54","0,48","2,33","3,07","0,90"
15-3 18:35,"2,17","0,31","0,37","1,60","0,75","1,66","0,90","2,52","0,72","3,21","0,73","0,54","0,96","2,64","0,63","0,56","1,03","2,03",-,-,-,-,-,-,"0,97","3,66","0,59"
15-3 18:40,"2,23","0,33","0,43","1,64","0,40","1,19","0,83","5,86","0,74","5,04","0,71","0,63",-,-,-,-,-,"2,52","1,46","7,75","0,47","0,73","1,00","0,70","1,50","3,53","0,63"
15-3 18:45,"2,52","0,35","0,42","1,71","0,38","1,35",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"5,64","2,31"
15-3 18:50,-,-,-,-,-,-,"0,92","1,90","1,14","2,89","0,81","0,66","1,46","0,71","0,84","0,61","1,03","2,33",-,-,-,-,-,-,"0,91","3,14","0,82"
15-3 18:55,-,-,-,-,-,-,"0,94","2,10","0,70","2,94","0,69","0,55",-,-,-,-,-,-,"1,72","8,44","0,53","0,60","0,57","0,60","1,13","3,42","0,68"
15-3 19:00,"2,63","0,47","0,43","1,78","0,85","1,72",-,-,-,-,-,-,"1,21","2,54","0,61","0,64","1,02","2,48",-,-,-,-,-,-,-,-,-
15-3 19:05,-,-,-,-,-,-,"0,97","1,99","1,05","3,01","0,71","0,86","1,30","0,68","0,66","0,51","0,69","2,30",-,-,-,-,-,-,"1,47","3,34","0,58"
15-3 19:10,"2,58","0,48","0,48","1,68","0,54","1,54","0,90","2,19","0,68","2,89","0,69","0,55","1,54","2,52","0,62","0,52","0,59","2,29","1,38","8,63","0,49","0,50","0,54","0,61",-,-,-
15-3 19:15,"3,26","0,38","0,44","1,70","0,42","1,61",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
