time,FSO_T00_SKPAuto_Opstarten,FSO_T01_SKPAuto_VerzekererdJaNee,FSO_T02_SKPAuto_Kenteken,FSO_T03_SKPAuto_AutoCheck,FSO_T04_SKPAuto_Postcode,FSO_T05_SKPAuto_Bestuurder,FSO_T06_SKPAuto_GeboorteDatum,FSO_T07_SKPAuto_SchadeVrijeJaren,FSO_T08_SKPAuto_Kilometers,FSO_T09_SKPAuto_Basisdekking,FSO_T10_SKPAuto_Uitbreiding,FSO_T11_SKPAuto_Ingangsdatum,FSO_T12_SKPAuto_Ongevallen,FSO_T13_SKPAuto_Samenvatting1,FSO_T14_SKPAuto_PriveZakelijk,FSO_T15_SKPAuto_KentekenOpNaam,FSO_T16_SKPAuto_Persoonsgegevens,FSO_T17_SKPAuto_Adres,FSO_T18_SKPAuto_TelefoonEmail,FSO_T19_SKPAuto_AanvullendeVragen,FSO_T20_SKPAuto_GeweigerdOpgezegd,FSO_T21_SKPAuto_StrafbaarFeit,FSO_T22_SKPAuto_EerderSchade,FSO_T23_SKPAuto_MaandJaar,FSO_T24_SKPAuto_Rekeningnummer,FSO_T25_SKPAuto_Samenvatting2,FSO_T26_SKPAuto_EindeScript
17-3 7:30,-,-,-,-,-,-,-,-,-,-,-,-,-,"4,42","0,62","2,38","2,57","4,07","1,28","8,96",-,-,-,-,-,"5,17","2,48"
17-3 7:35,-,-,-,-,-,-,-,-,-,-,-,-,"2,44","0,85","0,57","0,38","0,63","1,96","1,68","8,55","0,47","0,55","0,46","0,44","0,88","3,11","0,45"
17-3 7:40,-,-,-,-,-,-,-,"1,99","0,55","2,92","0,63","0,47","1,24",-,-,-,-,-,"1,28","8,13","0,43","0,42","0,41","0,38","1,38","3,19","0,45"
17-3 7:45,"1,84","0,76","0,40","1,86","0,31","1,37","0,76","1,80","0,79","2,84","0,63","0,60","2,19","2,58","0,57","0,47","0,55","2,19","1,19","8,03",-,-,-,-,-,-,-
17-3 7:50,"2,38","0,31","0,32","1,37","0,48","1,39",-,"1,92","0,52","2,80","0,70","0,54","1,24","0,95","0,58","0,51","1,11","2,14","1,28","8,44","0,49","0,62","0,47","0,52","1,35","3,35","0,56"
17-3 7:55,"2,09","0,30","0,30","1,46","0,31","1,39","0,97","3,88","0,46","2,97","0,65","0,40","1,28","2,53","0,49","0,55","0,59","2,12","1,25","8,12","0,34","0,41","0,40","0,45","1,35","3,68","0,54"
17-3 8:00,"2,03","0,45","0,30","1,32","0,37","1,27","0,86","2,05","0,60","2,91","0,68","0,48","1,29","1,46","0,55","0,38","0,58","2,29","1,41","7,73","0,49","0,45","0,36","0,45","1,50","2,73","0,41"
17-3 8:05,"1,88","0,41","0,43","1,79","0,50","1,21","0,93","2,27","0,62","2,90","0,72","0,52","1,28","1,59","0,55","0,45","0,67","2,78","1,32","8,15","0,39","0,52","0,47","0,42","1,19","3,46","0,45"
17-3 8:10,"2,33","0,45","0,30","1,68","0,47","1,05",-,-,-,-,-,-,-,"3,19","0,51","0,45","0,53","2,57","1,24","8,20","0,49","0,44","0,46","0,49","0,84",-,-
17-3 8:15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
17-3 8:20,"2,40","0,37","0,50","1,71","0,62","1,48","0,86","2,44","0,67","2,83","0,70","0,61","1,45","0,90","0,79","0,47","0,76","2,57",-,-,-,-,-,-,-,"2,97","0,53"
17-3 8:25,"2,45","0,37","0,26","1,46","0,35","1,78","1,13","4,10","0,63","2,90","0,75","0,49",-,"2,55","0,61","0,91","0,49","3,24","1,79","8,43","0,39","0,57","0,43","0,54","1,76","3,33","0,50"
17-3 8:30,-,-,-,-,-,-,"1,19","2,20","0,69","3,03","0,67","0,49","1,28","2,70","0,47","0,50","0,77","2,55","1,44","8,04","0,51","0,43","0,38","0,43","1,82","3,10","0,43"
17-3 8:35,"2,76","0,24","0,30","5,03","0,78","1,46","1,00","2,14","0,53","3,16","0,73","0,75","1,33","2,76","0,52","0,47","0,84","2,37",-,-,-,-,-,-,-,-,-
17-3 8:40,"3,35","0,30","0,28","1,53","0,27","1,31","0,87","2,40","0,89","2,88","0,66","0,43","1,19","2,49","0,46","0,46","0,86","2,20",-,-,-,-,-,-,"1,22","3,60","0,59"
17-3 8:45,"2,45","0,31","0,31","1,58","0,31","1,24","0,99","2,01","0,59","2,93","0,77","0,64","1,37",-,-,-,-,-,"1,17","8,37","0,34","0,46","0,38","0,41",-,-,-
17-3 8:50,"2,11","0,32","0,30","1,34","0,72","1,54",-,-,-,-,-,-,-,"0,70","0,51","0,47","0,61","2,65","1,51","8,17","0,55","0,67","0,50","0,51","1,38","3,42","0,47"
17-3 8:55,"1,82","0,31","0,32","1,37","0,31","1,43","0,89","2,35","0,60","1,85","0,84","0,68","1,25",-,-,-,-,-,"3,05","7,85","0,50","0,76","0,48","0,47","5,15",-,-
17-3 9:00,"2,36","0,32","0,33","1,63","0,33","1,57","0,88","2,57","0,62","3,20","0,83","1,31",-,-,-,-,-,-,"1,32","9,17","0,43","0,44","0,44","0,37","1,38","3,11","0,70"
17-3 9:05,"1,99","0,28","0,38","1,72","0,36","1,61",-,-,-,-,-,-,-,"0,84","0,52","0,44","1,01","2,96",-,-,"0,55","0,54","0,48","0,42","1,38","3,08","0,53"
17-3 9:10,"2,27","0,28","0,28","1,77","0,36","1,01","0,93","1,75","0,74","2,86","0,70","0,50","1,29",-,-,-,-,-,-,-,-,-,-,-,-,"3,66","0,44"
17-3 9:15,"2,14","0,26","0,38","1,68","0,35","1,34","0,83",-,-,-,-,-,-,"2,61","0,49","0,41","0,57","2,01","1,45","8,43","0,40","0,44","0,43","0,37","1,29","3,57","0,43"
17-3 9:20,-,-,-,-,-,-,"0,84","2,40","0,80","2,93","0,71","0,53","1,45","2,58","0,67","0,63","1,49","2,65","1,47","8,11","0,54","0,51","0,44","0,42","0,95","2,53","0,49"
17-3 9:25,"1,93","0,62","0,27","1,71","0,36","1,28","0,95","2,08","0,53","2,92","0,69","0,50","2,18","0,68","0,50","0,79","0,75","2,22","1,38","8,35","0,36","0,43","0,40","0,41","1,49","3,25","0,58"
17-3 9:30,"2,30","0,37","0,32","1,60","0,32","1,35","0,80","1,96","0,67","3,01","0,67","0,68","2,39","2,70","0,56","0,40","0,64","2,18","1,34","7,94",-,-,-,-,-,"3,07","0,48"
17-3 9:35,-,-,-,-,-,-,"1,80","2,16","0,73","3,04","0,72","0,57","2,21","2,56","0,50","0,50","0,94","2,08","1,48","8,83","0,45","0,55","0,56","0,52","1,42","3,43","0,53"
17-3 9:40,"5,11","0,78","0,31","1,26","0,34","1,46","0,91","2,08","0,44","2,90","0,69","0,52",-,-,-,-,-,-,"1,89","8,79","0,57","0,54","0,55","0,73",-,-,-
17-3 9:45,"2,36","0,38","0,34","1,64","0,31","1,49",-,-,-,-,-,-,"1,43","1,55","0,64","0,49","0,72","2,60","1,48","9,61","0,42","0,54","0,40","0,47","1,15","3,37","0,47"
17-3 9:50,-,-,-,-,-,-,"0,98","2,31","0,78","2,83","0,71","0,57","1,52","0,87","0,45","0,50","0,85","2,60","1,64","8,73","0,52","0,48","0,40","0,44","1,11",-,-
17-3 9:55,"2,10","0,49","0,32","2,67","0,29","1,27","0,95","4,22","0,61","2,92","0,82","0,49","1,28","1,08","0,58","0,49","0,68","3,01","1,91","9,08","0,58","0,54","0,56","0,60","1,83","3,59","0,62"
