time,FSO_T00_SKPAuto_Opstarten,FSO_T01_SKPAuto_VerzekererdJaNee,FSO_T02_SKPAuto_Kenteken,FSO_T03_SKPAuto_AutoCheck,FSO_T04_SKPAuto_Postcode,FSO_T05_SKPAuto_Bestuurder,FSO_T06_SKPAuto_GeboorteDatum,FSO_T07_SKPAuto_SchadeVrijeJaren,FSO_T08_SKPAuto_Kilometers,FSO_T09_SKPAuto_Basisdekking,FSO_T10_SKPAuto_Uitbreiding,FSO_T11_SKPAuto_Ingangsdatum,FSO_T12_SKPAuto_Ongevallen,FSO_T13_SKPAuto_Samenvatting1,FSO_T14_SKPAuto_PriveZakelijk,FSO_T15_SKPAuto_KentekenOpNaam,FSO_T16_SKPAuto_Persoonsgegevens,FSO_T17_SKPAuto_Adres,FSO_T18_SKPAuto_TelefoonEmail,FSO_T19_SKPAuto_AanvullendeVragen,FSO_T20_SKPAuto_GeweigerdOpgezegd,FSO_T21_SKPAuto_StrafbaarFeit,FSO_T22_SKPAuto_EerderSchade,FSO_T23_SKPAuto_MaandJaar,FSO_T24_SKPAuto_Rekeningnummer,FSO_T25_SKPAuto_Samenvatting2,FSO_T26_SKPAuto_EindeScript
10-4 10:27,-,-,"0,30","1,81","0,34","1,45","0,82","1,34","0,83","2,96","0,83","0,48","1,44","2,60","0,54",-,-,-,"1,23","7,58","0,38","0,44","0,44","0,39","2,01","3,78","0,81"
10-4 10:30,"5,81","1,93","1,86","3,45","2,13","2,86","4,58","3,71","2,82",-,-,-,-,-,-,"0,37","0,59","2,55","1,40","7,60","0,40","0,43","0,40","0,44","0,92","2,85","0,48"
10-4 10:35,"8,47","1,92","0,34","2,30","0,34","1,04","0,93","3,12","0,61","7,05","1,04","1,95","1,29","3,49","0,55","1,40","1,90","3,07","4,11","10,11","2,15","2,42","2,37","2,59","8,67","5,53","2,62"
10-4 10:40,"4,12","0,51","0,33","1,41","0,33","1,15","0,88","2,45","0,75","2,41","0,65","0,58","1,43","1,80","0,54","0,69","0,60","3,66","2,64","19,91","0,43","0,39","0,45","0,47","0,97","3,02","0,46"
10-4 10:45,"1,74","0,36","0,34","1,22","0,33","1,83","25,63",-,-,-,-,-,-,-,"0,52","1,25","0,91","2,06","1,45","11,70","0,39","0,48","0,45","0,41","0,87","3,36","0,47"
10-4 10:50,"1,95","0,29","0,28","1,39","0,29","1,47","9,25","2,89","0,57","5,88","1,02","0,66","1,28","1,53","0,52","0,48","0,71","2,13","1,28","8,49","0,43","0,46","0,42","0,55","1,81","3,37","2,69"
10-4 10:55,"5,99","0,56","0,40","1,58","0,42","1,33","0,71","2,34","2,18","2,92","2,18","0,70","1,40","1,55","0,56","0,57","0,68","2,02","1,77","8,23","0,45","0,59","0,44","0,44","1,13","3,42","1,67"
10-4 11:00,"2,48","0,32","0,38","1,99","0,36","1,13","1,21","3,23","5,88",-,-,-,-,-,"0,52","0,47","0,73","2,56","1,49","8,15","0,59","0,52","0,47","0,56","0,95","3,18","0,54"
10-4 11:05,"2,91","0,32","0,51","1,43","0,47","1,58","6,11","2,35","0,84","3,15","0,82","0,52","1,54","2,56","0,58","0,57","0,63","1,76","1,46","0,00",-,-,-,-,-,-,-
10-4 11:10,"2,93","1,18","1,29","2,60","2,30","4,32","2,81","2,90","1,73","3,68","0,69","1,75","1,44","2,43","0,50","2,15","2,60","4,38","3,50","8,99","1,52","1,45","1,35","1,42","2,11","4,06","1,78"
10-4 11:15,"1,65","0,30","0,51","1,70","0,32","1,52","0,77","2,12","0,40","2,94",-,-,-,-,-,"0,43","0,91","2,53","1,63","8,35","0,46","0,50","0,53","0,45","1,56","3,54","0,53"
10-4 11:20,"3,13","0,23","0,29","1,38","0,29","1,34","1,71","2,53","1,04","3,07","0,65","0,64","1,47","1,69","0,50","0,58","0,89","2,34","1,42","8,12","0,41","0,46","0,51","0,44","0,91","2,64","0,52"
10-4 11:25,"2,20","0,69","0,29","1,35","0,31","1,44","0,81","2,27","0,64","2,83","0,70","0,43","1,35",-,-,-,-,-,-,-,"0,48","0,49","0,47","0,44","1,57","3,15","0,46"
