Metrics Over Time
Metrics Over Time
,,,20-3 10:30,,,20-3 10:35,,,20-3 10:40,,,20-3 10:45,,,20-3 10:50,,,20-3 10:55,,,20-3 11:00,,,20-3 11:05,,,20-3 11:10,,,20-3 11:15,,,20-3 11:20,,,20-3 11:25,,,20-3 11:30,,,20-3 11:35,,,20-3 11:40,,,20-3 11:45,,,20-3 11:50,,,20-3 11:55,,,20-3 12:00,,,20-3 12:05,,,20-3 12:10,,,20-3 12:15,,,20-3 12:20,,,20-3 12:25,,,20-3 12:30,,,20-3 12:35,,,20-3 12:40,,,20-3 12:45,,,20-3 12:50,,,20-3 12:55,,,
"Transaction","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)",
"FSO_T00_SKPAuto_Opstarten","2,99","3,48","2,01","2,33","2,30","2,21","1,86","2,76","2,92","2,99","2,24","3,00","4,32","3,75","2,32","2,23","2,30","2,67","3,98","1,87","2,50","2,93","2,54","2,12","3,03","2,90","2,32","3,87","2,30","2,55",
"FSO_T01_SKPAuto_VerzekererdJaNee","0,37","0,50","0,35","0,35","0,23","0,42","0,67","0,59","0,69","0,53","0,96","0,55","0,70","0,63","1,48","0,28","0,72","0,77","5,39","1,82","0,48","0,65","0,75","1,28","0,61","0,64","0,51","1,08","2,16","0,70",
"FSO_T02_SKPAuto_Kenteken","0,78","0,35","0,39","0,56","0,40","0,38","0,60","0,59","0,61","0,50","0,63","0,56","0,60","0,54","2,14","0,41","0,44","0,50","2,63","1,87","0,39","0,64","0,59","1,24","0,64","0,71","0,59","0,72","2,07","0,56",
"FSO_T03_SKPAuto_AutoCheck","1,72","2,64","1,57","1,59","2,65","1,28","1,56","4,47","1,61","3,52","1,80","2,60","1,62","1,62","3,46","2,21","1,61","2,00","2,22","3,97","1,74","1,60","4,00","3,71","2,82","3,11","1,42","2,29","3,94","1,47",
"FSO_T04_SKPAuto_Postcode","0,42","0,46","0,38","0,44","1,45","0,44","0,62","0,74","0,65","0,52","1,72","0,55","0,57","0,41","1,41","0,40","0,54","0,52","0,66","1,55","0,40","0,63","0,96","1,38","0,62","0,71","0,61","0,63","2,26","0,64",
"FSO_T05_SKPAuto_Bestuurder","1,38","1,52","1,51","1,35","1,64","1,40","1,57","1,48","1,64","1,57","1,99","1,37","1,71","1,34","2,44","1,28","1,75","1,63","1,96","2,30","1,44","1,52","1,22","2,52","1,65","1,79","1,51","1,72","3,47","1,49",
"FSO_T06_SKPAuto_GeboorteDatum","0,82","1,09","1,12","1,04","0,87","0,85","-","0,92","1,05","0,88","0,96","0,82","0,97","0,98","1,57","0,88","1,32","1,34","1,48","1,71","0,89","1,33","0,90","2,26","0,81","1,49","0,88","0,85","1,48","0,85",
"FSO_T07_SKPAuto_SchadeVrijeJaren","1,95","2,74","6,08","2,42","4,27","2,43","-","2,61","1,86","2,14","2,41","2,01","2,61","3,04","5,18","2,40","2,35","3,00","2,13","2,72","2,04","3,86","2,47","2,56","2,07","1,95","2,05","2,56","2,88","2,41",
"FSO_T08_SKPAuto_Kilometers","0,59","2,24","0,87","1,01","0,83","0,80","-","2,17","0,89","0,67","0,96","0,78","1,12","1,71","1,80","0,77","1,27","1,51","0,90","1,75","0,83","0,62","0,94","2,02","0,73","1,17","0,80","0,70","2,20","0,95",
"FSO_T09_SKPAuto_Basisdekking","2,90","2,92","2,96","2,94","2,95","2,86","-","2,99","3,05","2,92","2,92","2,09","2,90","3,02","3,73","3,15","2,99","3,00","4,12","3,84","1,84","3,19","3,04","4,00","2,91","2,95","4,07","2,84","4,43","3,04",
