Metrics Over Time
Metrics Over Time
,,,12-3 10:00,,,12-3 10:05,,,12-3 10:10,,,12-3 10:15,,,12-3 10:20,,,12-3 10:25,,,12-3 10:30,,,12-3 10:35,,,12-3 10:40,,,12-3 10:45,,,12-3 10:50,,,12-3 10:55,,,12-3 11:00,,,12-3 11:05,,,12-3 11:10,,,12-3 11:15,,,12-3 11:20,,,12-3 11:25,,,12-3 11:30,,,12-3 11:35,,,12-3 11:40,,,12-3 11:45,,,12-3 11:50,,,12-3 11:55,,,12-3 12:00,,,12-3 12:05,,,12-3 12:10,,,12-3 12:15,,,12-3 12:20,,,12-3 12:25,,,
"Transaction","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)",
"FSO_T00_SKPAuto_Opstarten","3,47","1,84","2,44","4,14","2,18","1,88","3,43","1,60","2,56","4,00","2,84","2,66","2,67","2,02","2,41","2,47","3,17","4,58","4,12","2,92","2,25","7,54","3,07","2,12","3,89","2,26","2,63","2,05","1,91","2,23",
"FSO_T01_SKPAuto_VerzekererdJaNee","0,30","0,71","1,91","15,65","5,53","0,28","0,82","0,27","0,72","0,28","0,37","0,30","0,24","0,70","0,26","0,43","0,48","0,31","0,34","0,57","0,31","6,27","0,33","0,67","0,44","0,33","0,28","0,73","0,64","0,42",
"FSO_T02_SKPAuto_Kenteken","0,27","0,90","3,16","2,05","20,05","0,34","0,37","0,36","0,28","0,38","0,28","0,37","0,32","4,62","0,32","0,55","0,33","0,29","0,35","0,32","0,31","1,29","0,32","0,45","0,53","0,39","0,37","0,43","0,33","0,31",
"FSO_T03_SKPAuto_AutoCheck","1,50","11,43","4,02","3,33","28,20","1,64","1,50","1,37","1,75","1,68","2,15","1,70","3,52","2,02","1,78","3,39","2,19","2,12","1,49","4,03","2,07","1,53","1,60","1,57","1,43","1,74","1,48","1,73","1,79","1,75",
"FSO_T04_SKPAuto_Postcode","0,30","0,33","3,93","3,17","10,16","0,43","0,33","0,54","0,29","0,39","0,38","0,36","0,28","0,46","0,32","0,32","0,98","0,28","0,46","0,83","0,49","0,37","0,78","0,27","0,40","0,54","0,40","0,38","0,47","0,42",
"FSO_T05_SKPAuto_Bestuurder","1,33","1,59","2,27","3,58","8,91","1,38","1,43","1,25","1,24","1,49","1,45","2,86","1,37","1,71","1,11","1,11","1,52","1,20","1,45","1,26","1,40","1,72","1,21","1,26","1,34","2,55","1,57","1,36","1,45","1,49",
"FSO_T06_SKPAuto_GeboorteDatum","0,90","0,92","2,25","2,95","4,97","1,09","0,92","0,92","0,97","0,86","0,95","1,07","0,91","1,04","0,91","0,93","0,92","0,88","0,87","1,16","1,00","1,10","2,17","1,02","0,89","0,69","0,93","0,85","0,87","0,92",
"FSO_T07_SKPAuto_SchadeVrijeJaren","2,04","2,48","2,55","3,67","7,59","2,80","1,88","2,70","2,18","1,77","2,57","3,59","2,43","2,25","3,93","2,35","2,85","1,96","2,42","2,39","4,13","2,90","1,94","2,12","1,88","2,09","2,43","2,95","2,06","2,36",
"FSO_T08_SKPAuto_Kilometers","0,54","0,63","1,86","2,64","9,96","0,65","0,56","0,52","0,66","0,64","0,55","0,68","0,64","0,54","0,47","0,78","0,69","0,53","0,50","0,63","0,70","0,64","0,47","0,51","0,79","1,01","0,96","0,46","0,64","0,59",
"FSO_T09_SKPAuto_Basisdekking","4,98","2,94","3,66","4,46","3,84","2,88","4,64","2,96","1,74","2,85","3,00","3,00","3,05","2,87","2,89","0,56","2,90","3,08","2,94","2,86","2,98","2,85","2,89","2,97","2,83","2,98","2,91","3,06","3,37","3,16",
"FSO_T10_SKPAuto_Uitbreiding","0,74","0,67","1,10","0,61","0,71","0,65","1,90","0,79","0,67","0,76","0,65","0,76","0,80","0,71","0,70","0,68","0,80","0,68","0,64","0,75","0,71","0,81","0,71","0,76","0,77","0,70","0,93","0,78","0,73","0,79",
