Metrics Over Time
Metrics Over Time
,,,10-4 10:27,,,10-4 10:30,,,10-4 10:35,,,10-4 10:40,,,10-4 10:45,,,10-4 10:50,,,10-4 10:55,,,10-4 11:00,,,10-4 11:05,,,10-4 11:10,,,10-4 11:15,,,10-4 11:20,,,10-4 11:25,,,
"Transaction","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)","Transaction Response Time  (sec.)",
"FSO_T00_SKPAuto_Opstarten","-","5,81","8,47","4,12","1,74","1,95","5,99","2,48","2,91","2,93","1,65","3,13","2,20",
"FSO_T01_SKPAuto_VerzekererdJaNee","-","1,93","1,92","0,51","0,36","0,29","0,56","0,32","0,32","1,18","0,30","0,23","0,69",
"FSO_T02_SKPAuto_Kenteken","0,30","1,86","0,34","0,33","0,34","0,28","0,40","0,38","0,51","1,29","0,51","0,29","0,29",
"FSO_T03_SKPAuto_AutoCheck","1,81","3,45","2,30","1,41","1,22","1,39","1,58","1,99","1,43","2,60","1,70","1,38","1,35",
"FSO_T04_SKPAuto_Postcode","0,34","2,13","0,34","0,33","0,33","0,29","0,42","0,36","0,47","2,30","0,32","0,29","0,31",
"FSO_T05_SKPAuto_Bestuurder","1,45","2,86","1,04","1,15","1,83","1,47","1,33","1,13","1,58","4,32","1,52","1,34","1,44",
"FSO_T06_SKPAuto_GeboorteDatum","0,82","4,58","0,93","0,88","25,63","9,25","0,71","1,21","6,11","2,81","0,77","1,71","0,81",
"FSO_T07_SKPAuto_SchadeVrijeJaren","1,34","3,71","3,12","2,45","-","2,89","2,34","3,23","2,35","2,90","2,12","2,53","2,27",
"FSO_T08_SKPAuto_Kilometers","0,83","2,82","0,61","0,75","-","0,57","2,18","5,88","0,84","1,73","0,40","1,04","0,64",
"FSO_T09_SKPAuto_Basisdekking","2,96","-","7,05","2,41","-","5,88","2,92","-","3,15","3,68","2,94","3,07","2,83",
"FSO_T10_SKPAuto_Uitbreiding","0,83","-","1,04","0,65","-","1,02","2,18","-","0,82","0,69","-","0,65","0,70",
"FSO_T11_SKPAuto_Ingangsdatum","0,48","-","1,95","0,58","-","0,66","0,70","-","0,52","1,75","-","0,64","0,43",
"FSO_T12_SKPAuto_Ongevallen","1,44","-","1,29","1,43","-","1,28","1,40","-","1,54","1,44","-","1,47","1,35",
"FSO_T13_SKPAuto_Samenvatting1","2,60","-","3,49","1,80","-","1,53","1,55","-","2,56","2,43","-","1,69","-",
"FSO_T14_SKPAuto_PriveZakelijk","0,54","-","0,55","0,54","0,52","0,52","0,56","0,52","0,58","0,50","-","0,50","-",
"FSO_T15_SKPAuto_KentekenOpNaam","-","0,37","1,40","0,69","1,25","0,48","0,57","0,47","0,57","2,15","0,43","0,58","-",
"FSO_T16_SKPAuto_Persoonsgegevens","-","0,59","1,90","0,60","0,91","0,71","0,68","0,73","0,63","2,60","0,91","0,89","-",
"FSO_T17_SKPAuto_Adres","-","2,55","3,07","3,66","2,06","2,13","2,02","2,56","1,76","4,38","2,53","2,34","-",
"FSO_T18_SKPAuto_TelefoonEmail","1,23","1,40","4,11","2,64","1,45","1,28","1,77","1,49","1,46","3,50","1,63","1,42","-",
"FSO_T19_SKPAuto_AanvullendeVragen","7,58","7,60","10,11","19,91","11,70","8,49","8,23","8,15","0,00","8,99","8,35","8,12","-",
"FSO_T20_SKPAuto_GeweigerdOpgezegd","0,38","0,40","2,15","0,43","0,39","0,43","0,45","0,59","-","1,52","0,46","0,41","0,48",
"FSO_T21_SKPAuto_StrafbaarFeit","0,44","0,43","2,42","0,39","0,48","0,46","0,59","0,52","-","1,45","0,50","0,46","0,49",
"FSO_T22_SKPAuto_EerderSchade","0,44","0,40","2,37","0,45","0,45","0,42","0,44","0,47","-","1,35","0,53","0,51","0,47",
"FSO_T23_SKPAuto_MaandJaar","0,39","0,44","2,59","0,47","0,41","0,55","0,44","0,56","-","1,42","0,45","0,44","0,44",
"FSO_T24_SKPAuto_Rekeningnummer","2,01","0,92","8,67","0,97","0,87","1,81","1,13","0,95","-","2,11","1,56","0,91","1,57",
"FSO_T25_SKPAuto_Samenvatting2","3,78","2,85","5,53","3,02","3,36","3,37","3,42","3,18","-","4,06","3,54","2,64","3,15",
"FSO_T26_SKPAuto_EindeScript","0,81","0,48","2,62","0,46","0,47","2,69","1,67","0,54","-","1,78","0,53","0,52","0,46",
 

